Basin,Area,Perc_Imperv,VGSW,INFT,PRPV,BIOR
S1,189.2294713,0,1091.6513418207926,0.001,0.001,0.001
S2,257.3832658,9.27115e-4,0,0.001,0.001,0.001
S3,315.2854249,0,786.0940029010904,0.001,0.001,0.001
S4,5.606208797,38.51763637,77.20179481738995,0.001,4.083968140858005,57.44844759749075
S5,0.964370922,59.22528719,6.583879563639705,0.001,1.6046014386611769,39.31682787568172
S6,5.354158477,58.53240322,35.01909145858446,0.001,4.440078546498436,209.12070081068381
S7,49.9144007,14.10178763,141.84926386136976,0.001,10.42715836029568,152.18576196751
S8,3.56657301,46.87794523,5.9040374918645355,0.001,2.386966355334845,35.25921219355775
S9,20.28793237,1.783702012,0.9601601354773978,0.001,0.30680073666821944,5.73352766613646
S10,12.10419084,46.82731603,22.4717842658047,0.001,10.42715836029568,152.18576196751
S11,33.54266921,60.17684089,136.89241384979496,61.94294910712523,33.54362423144616,449.8180849251141
S12,6.370282664,28.88469268,146.44469633427107,0.001,4.083968140858005,57.44844759749075
S13,4.824320976,60.72206092,9.868085091703984,0.001,2.386966355334845,35.25921219355775
S14,5.614806045,51.97367076,9.828009632289199,0.001,8.06503916287951,120.01456075889014
S15,4.392445182,53.68409461,6.851725090666509,61.94294910712523,33.54362423144616,449.8180849251141
S16,5.875520233,29.72936196,15.141151526034161,0.001,3.221135857906788,46.9429589543568
S17,5.626942699,48.09130146,23.213862354462158,0.001,2.386966355334845,35.25921219355775
S18,6.756477089,41.48075899,13.24160990123633,0.001,4.083968140858005,57.44844759749075
S19,6.964794011,43.40998739,6.4645445207842025,61.94294910712523,33.54362423144616,449.8180849251141
S20,74.84723585,5.926748961,656.4363348597069,0.001,3.221135857906788,46.9429589543568
S21,1.809747547,64.38962281,5.072035550005032,61.94294910712523,33.54362423144616,449.8180849251141
S22,2.453839345,57.3645861,6.041425904858011,0.001,4.16428305832609,58.917761130302246
S23,16.347791,60.15848873,35.9323006816153,0.001,2.581320950958394,38.60347486726959
S24,136.7392529,0.81502431,1959.1730563065812,639.9202673602828,6.782765273148266,102.64864666827023
S25,9.971414734,26.67894757,13.898106167039446,0.001,2.824391018128818,36.08346496783078
S26,4.740759218,52.66356043,9.309831533929136,0.001,2.134186626421273,30.29794890027601
S27,16.13236034,13.33065868,8.890844152150569,2.701850870986307,4.461893229204381,67.16982986150502
S28,32.14766911,45.64873898,53.970910041391456,0.001,3.992332006721098,55.564301001794625
S29,1.428246197,63.75089696,4.057848143494514,0.001,1.6510617051542158,53.104976973541945
S30,2.439729423,28.87544298,0.433042656523446,0.001,24.15798572098509,322.2206912531038
S31,5.273899034,47.00969557,8.989742745791554,0.001,1.6046014386611769,39.31682787568172
S32,4.626191728,55.41356127,10.282148002978195,0.001,0.24129097411384548,2.5825104190289214
S33,7.491734208,52.76045359,14.0293292256788,0.001,24.15798572098509,322.2206912531038
S34,10.08579054,55.84532683,22.513606978946854,0.001,24.15798572098509,322.2206912531038
S35,3.764393752,58.1059099,8.769031371210886,0.001,6.2234754658415214,83.78074343204936
S36,2.369101434,57.37834523,5.161919133046463,0.001,3.9155389187301672,52.33043841808008
S37,5.442464896,57.21574745,10.815665500530514,0.001,2.386966355334845,35.25921219355775
S38,285.019534,0.093206635,0,0.001,0.001,0.001
S39,4.821504721,42.93308382,6.142479973717874,0.001,2.57348538796295,36.67590742054269
S40,1.796889202,65.26444349,3.9995803075893672,0.001,2.57348538796295,36.67590742054269
S41,23.50986751,0,0,0.001,0.001,0.001
S42,25.18703005,52.07524372,38.63730406535326,0.001,10.42715836029568,152.18576196751
S43,11.30645045,0.158683592,0,0.001,0.001,0.001
S44,5.662908261,56.58470774,10.596717911886866,0.001,4.5090336263111155,63.305116485548936
S45,4.712422198,75.81187507,15.962673274557284,0.001,2.57348538796295,36.67590742054269
S46,4.820406543,59.97948939,16.457369999170865,0.001,1.6046014386611769,39.31682787568172
S47,3.74611016,73.67874059,11.17695346791947,0.001,16.553684604540216,230.70000439732306
S48,10.20981084,39.93227871,28.070449708558648,0.001,10.42715836029568,39.31682787568172
S49,7.278684259,61.33457951,15.710229354053421,0.001,7.1274552335686066,93.79585078675784
S50,7.300710873,1.474599605,0,0.001,0.001,0.001
S51,4.462388826,65.70617625,12.91511336119463,0.001,2.824391018128818,36.08346496783078
S52,11.96705174,49.06820134,17.406592285309664,0.001,4.5090336263111155,63.305116485548936
S53,3.298068649,32.12886722,2.254728405018595,0.001,16.553684604540216,230.70000439732306
S54,6.914736059,65.90850376,20.240705851084165,0.001,16.553684604540216,230.70000439732306
S55,10.46891606,43.23871699,14.873004854171823,0.001,16.553684604540216,230.70000439732306
S56,14.57604202,7.289334,4.0159917739271895,0.001,1.6202147047523194,24.002957787100673
S57,7.186397515,56.38068612,13.075455381969562,0.001,8.980354111411422,120.8702020546062
S58,18.24175557,50.48965135,28.542778001238705,0.001,7.1274552335686066,170.42781195112534
S59,5.541761199,58.61615029,13.590903375210516,0.001,2.517387851880147,30.824425583088345
S60,3.000542454,66.27512006,7.548807119223309,0.001,12.270470035435208,170.42781195112534
S61,8.812706186,49.27959815,15.395940852637738,0.001,2.517387851880147,30.824425583088345
S62,18.75165821,57.62114314,42.01924930703466,0.001,15.453237694750895,214.58901202463036
S63,28.94636649,59.59508223,61.286489113489246,0.001,8.980354111411422,120.8702020546062
S64,4.131323083,10.63857967,0,0.001,0.001,0.001
S65,7.111623298,54.98557019,12.016927901274235,0.001,4.80574334975555,45.07976733559328
S66,7.121412551,30.37886608,7.2306405014136494,0.001,17.92408222811962,250.94693317980204
S67,8.653818712,65.31544476,23.271394114709057,0.001,26.82024641048093,366.0199901373349
S68,7.033202619,56.40239857,13.727715462600422,0.001,10.050004086602343,138.96292581685793
S69,3.929655688,39.74706986,7.093229998972655,0.001,5.621895133214277,81.98490150613883
S70,5.419065059,38.95121684,6.9209573292670585,0.001,15.453237694750895,214.58901202463036
S71,3.701810928,63.33945328,9.57918236926843,0.001,3.3491512263657004,41.33429232191172
S72,8.101160393,45.27106014,102.01525610582851,0.001,2.9856558676461455,42.35853358752938
S73,13.59150568,25.5618759,75.44195285939962,0.001,2.9856558676461455,42.35853358752938
S74,36.58104361,49.9518791,184.71170259811484,0.001,26.431418744413463,368.18367653488286
S75,14.84798888,49.96926038,30.9995282145677,0.001,2.581320950958394,38.60347486726959
S76,35.2121217,21.94615359,22.479070690640327,0.001,33.54362423144616,72.01422527599053
S77,11.92885531,27.73969292,7.601036045995624,0.001,9.694875816228901,134.17329859615748
S78,29.20339895,45.86953124,113.25602417546091,0.001,4.440078546498436,209.12070081068381
S79,16.14341963,55.67441413,102.77317502199341,0.001,26.431418744413463,368.18367653488286
S80,7.536745984,34.72397236,7.901493825957538,0.001,26.431418744413463,368.18367653488286
S81,6.630587686,53.67397184,9.518969868949217,0.001,26.431418744413463,368.18367653488286
S82,1.503913327,50.03240953,2.9428411888975243,0.001,6.172135487773673,88.80444927571072
S83,5.719406509,0,0,0.001,0.001,0.001
S84,19.80289409,4.567331708,0,0.001,0.001,0.001
S85,6.598306727,0.488281567,0,0.001,0.001,0.001
S86,5.966280139,0,0,0.001,0.001,0.001
S87,5.063567492,0.354659927,0,0.001,0.001,0.001
S88,5.643741425,45.34938012,13.301964803870902,0.001,4.083968140858005,57.44844759749075
S89,21.3431386,54.37988009,48.532005588474576,0.001,10.42715836029568,152.18576196751
S90,21.10621911,3.833246125,0.9132167597464526,0.001,16.553684604540216,152.18576196751
S91,12.47686211,49.19776606,22.39205523682354,0.001,3.992332006721098,55.564301001794625
S92,8.379104746,0.359272275,0,0.001,0.001,0.001
S93,11.95255457,26.0080801,18.327074463796954,0.001,2.970397453717144,209.12070081068381
S94,83.21662663,0,0,0.001,0.001,0.001
S95,7.394075804,34.04731109,12.131225819887648,0.001,3.9674111335936555,56.35794003598944
S96,14.43286193,9.212696318,4.8287068452121495,0.001,1.8649119348255248,28.8022480558977
S97,5.014875437,47.90957767,8.293785170439714,0.001,4.083968140858005,57.44844759749075
